QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,OldBadeaID,Geno,Sex_other,IDStripped,TestDate,Age_Substracted,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling,Unnamed: 28,age
,XII,30,In House,211004-5,Control,211004_20,211004_20,APOE44,female,211004,10/4/21,17,4/5/20,29.3,11/16/17,19.67,20,1.666666667,,211004-5:1,,,,,,19.67,Control,18.2,,66
,XII,31,In House,211004-6,Control,211004_21,211004_21,APOE44HN,male,211004,10/4/21,17,4/20/20,29.2,11/16/17,19.17,19,1.583333333,,211004-6:1,,,,,,19.17,Control,17.7,,66
,XII,32,In House,211004-7,HFD,211004_5,211004_5,APOE33,female,211004,10/4/21,12,10/2/20,46.6,11/30/17,14.13,14,1.166666667,,211004-7:1,,,,,,14.13,HFD,12.2,,60
,XII,33,In House,211004-8,HFD,211004_9,211004_9,APOE33,female,211004,10/4/21,11,10/14/20,42.6,11/30/17,13.73,14,1.166666667,,211004-8:1,,,,,,13.73,HFD,11.8,,60
,XII,34,In House,211004-9,HFD,211004_14,211004_14,APOE44HN,male,211004,10/4/21,12,10/4/20,43.1,11/30/17,14.07,14,1.166666667,,211004-9:1,N59078_m00-m48,N59079,105,24,,14.07,HFD,12.13333333,,60
,XII,35,In House,211004-10,HFD,211004_15,211004_15,APOE44HN,male,211004,10/4/21,12,10/4/20,40.7,11/30/17,14.07,14,1.166666667,,211004-10:1,,,,,,14.07,HFD,12.13333333,,60
,XII,36,In House,211004-11,HFD,211004_16,211004_16,APOE44HN,male,211004,10/4/21,12,10/4/20,43.5,11/30/17,14.07,14,1.166666667,,211004-11:1,,,,,,14.07,HFD,12.13333333,,60
,XII,37,In House,211004-12,HFD,211004_17,211004_17,APOE44HN,male,211004,10/4/21,12,10/4/20,45.3,11/30/17,14.07,14,1.166666667,,211004-12:1,,,,,,14.07,HFD,12.13333333,,60
,XII,38,In House,211004-13,Control,211004_10,211004_10,APOE44HN,female,211004,10/4/21,12,10/4/20,25.6,11/30/17,14.07,14,1.166666667,,211004-13:1,N59076_m00-m48,N59077,103,24,,14.07,Control,12.13333333,,60
October2022scan,XII,39,In House,211004-14,Control,211004_11,211004_11,APOE44HN,female,211004,10/4/21,12,10/4/20,27.4,11/30/17,14.07,14,1.166666667,,211004-14:1,N60157_m00-m48,N60158,109,32,,14.07,Control,12.13333333,,60
October2022scan,XII,40,In House,211004-15,Control,211004_12,211004_12,APOE44HN,female,211004,10/4/21,12,10/4/20,21.3,12/1/17,14.1,14,1.166666667,,211004-15:1,N60159_m00-m48,N60160,93,32,,14.1,Control,12.13333333,,60
,XII,41,In House,211004-16,Control,211004_13,211004_13,APOE44HN,female,211004,10/4/21,12,10/4/20,22.8,12/1/17,14.1,14,1.166666667,,211004-16:1,,,,,,14.1,Control,12.13333333,,60
july2022scans,XIII,1,In House,211122-1,HFD,211122_1,211122-1,APOE22HN,female,211122,11/22/21,12,11/15/20,37,1/19/22,14.33,14,1.166666667,,211122-1:1,N60064_m00-m48,N60065,80,29,MRSOLUTIONS,14.33,HFD,12.4,,12
august2022scans,XIII,2,In House,211122-2,HFD,211122_2,211122-2,APOE22HN,female,211122,11/22/21,12,11/15/20,38,1/19/22,14.33,14,1.166666667,,211122-2:1,N60101_m00-m48,N60102,88,30,,14.33,HFD,12.4,,12
,XIII,3,In House,211122-3,HFD,211122_3,211122-3,APOE22HN,female,211122,11/22/21,12,11/15/20,39,1/19/22,14.33,14,1.166666667,,211122-3:1,,,,,,14.33,HFD,12.4,,12
august2022scans,XIII,4,In House,211122-4,HFD,211122_4,211122-4,APOE22HN,female,211122,11/22/21,12,11/19/20,34,1/19/22,14.2,14,1.166666667,,211122-4:1,N60093_m00-m48,N60094,85,30,,14.2,HFD,12.3,,12
,XIII,5,In House,211122-5,HFD,211122_5,211122-5,APOE22HN,female,211122,11/22/21,12,11/7/20,32,1/19/22,14.6,15,1.25,,211122-5:1,,,,,,14.6,HFD,12.66666667,,12
,XIII,6,In House,211122-6,HFD,211122_6,211122-6,APOE22HN,female,211122,11/22/21,12,11/7/20,38,1/19/22,14.6,15,1.25,,211122-6:1,,,,,,14.6,HFD,12.66666667,,12
,XIII,7,In House,211122-7,HFD,211122_7,211122-7,APOE22HN,female,211122,11/22/21,12,11/11/20,45,1/20/22,14.5,15,1.25,,211122-7:1,,,,,,14.5,HFD,12.53333333,,12
,XIII,8,In House,211122-8,HFD,211122_8,211122-8,APOE22HN,female,211122,11/22/21,12,11/11/20,33,1/20/22,14.5,15,1.25,,211122-8:1,,,,,,14.5,HFD,12.53333333,,12
October2022scan,XIII,9,In House,211122-9,Control,211122_9,211122-9,APOE22HN,male,211122,11/22/21,12,11/7/20,29,1/20/22,14.63,15,1.25,,211122-9:1,N60161_m00-m48,N60162,84,29,,14.63,Control,12.66666667,,12
October2022scan,XIII,10,In House,211122-10,Control,211122_10,211122-10,APOE22HN,male,211122,11/22/21,12,11/7/20,31,1/20/22,14.63,15,1.25,,211122-10:1,N60167_m00-m48,N60168,90,31,,14.63,Control,12.66666667,,12
November2022scans,XIII,11,In House,211122-11,Control,211122_11,211122-11,APOE22HN,male,211122,11/22/21,12,11/7/20,31,1/20/22,14.63,15,1.25,,211122-11:1,N60194_m00-m48,N60195,87,31,,14.63,Control,12.66666667,,12
,XIII,12,In House,211122-12,Control,211122_12,211122-12,APOE22HN,male,211122,11/22/21,12,11/7/20,30,1/20/22,14.63,15,1.25,,211122-12:1,,,,,,14.63,Control,12.66666667,,12
,XIII,13,In House,211122-13,Control,211122_13,211122-13,APOE22HN,male,211122,11/22/21,12,11/17/20,33,1/26/22,14.5,15,1.25,,211122-13:1,,,,,,14.5,Control,12.33333333,,12
,XIII,14,In House,211122-14,Control,211122_14,211122-14,APOE22HN,male,211122,11/22/21,12,11/17/20,31,1/26/22,14.5,15,1.25,,211122-14:1,,,,,,14.5,Control,12.33333333,,12
,XIII,15,In House,211122-15,Control,211122_15,211122-15,APOE22HN,male,211122,11/22/21,12,11/19/20,29,1/26/22,14.43,14,1.166666667,,211122-15:1,,,,,,14.43,Control,12.26666667,,12
,XIII,16,In House,211122-16,Control,211122_16,211122-16,APOE22HN,male,211122,11/22/21,12,11/19/20,32,1/27/22,14.47,14,1.166666667,,211122-16:1,,,,,,14.47,Control,12.26666667,,12
,XIII,17,In House,211122-23,Control,211122_23,211122-23,APOE22HN,male,211122,11/22/21,18,5/11/20,31,1/26/22,20.83,21,1.75,,211122-23:1,,,,,,20.83,Control,18.66666667,,18
,XIII,18,In House,211122-24,Control,211122_24,211122-24,APOE22HN,male,211122,11/22/21,17,6/16/20,31,1/26/22,19.63,20,1.666666667,,211122-24:1,,,,,,19.63,Control,17.46666667,,17
,XIII,19,In House,211122-25,Control,211122_25,211122-25,APOE22HN,male,211122,11/22/21,17,6/16/20,33,1/27/22,19.67,20,1.666666667,,211122-25:1,,,,,,19.67,Control,17.46666667,,17
,XIII,20,In House,211122-26,Control,211122_26,211122-26,APOE22HN,female,211122,11/22/21,17,6/16/20,32,1/27/22,19.67,20,1.666666667,,211122-26:1,,,,,,19.67,Control,17.46666667,,17
,XIII,21,In House,211122-27,Control,211122_27,211122-27,APOE22HN,female,211122,11/22/21,17,6/16/20,27,1/27/22,19.67,20,1.666666667,,211122-27:1,,,,,,19.67,Control,17.46666667,,17
,XIII,22,In House,211122-28,Control,211122_28,211122-28,APOE22HN,female,211122,11/22/21,20,3/10/20,26,1/27/22,22.93,23,1.916666667,,211122-28:1,,,,,,22.93,Control,20.73333333,,20
august2022scans,XIV,1,In House,220110_1,HFD,220110_1,220110_1,APOE22HN,male,220110,1/10/22,12,1/6/21,47,2/23/22,13.77,14,1.166666667,,220110_1:1,N60088_m00-m48,N60089,43,27,,13.77,HFD,12.3,,12
july2022scans,XIV,2,In House,220110_2,HFD,220110_2,220110_2,APOE22HN,male,220110,1/10/22,12,1/6/21,39,2/23/22,13.77,14,1.166666667,,220110_2:1,N60070_m00-m48,N60071,50,27,MRSOLUTIONS,13.77,HFD,12.3,,12
july2022scans,XIV,3,In House,220110_3,HFD,220110_3,220110_3,APOE22HN,male,220110,1/10/22,12,1/6/21,37,2/23/22,13.77,14,1.166666667,,220110_3:1,N60072_m00-m48,N60073,60,22,MRSOLUTIONS,13.77,HFD,12.3,,12
august2022scans,XIV,4,In House,220110_4,HFD,220110_4,220110_4,APOE22HN,male,220110,1/10/22,12,1/6/21,48,2/23/22,13.77,14,1.166666667,,220110_4:1,N60092_m00-m48,N60091,45,27,MRSOLUTIONS,13.77,HFD,12.3,,12
,XIV,5,In House,220110_5,Control,220110_5,220110_5,APOE22HN,male,220110,1/10/22,12,1/6/21,29,2/23/22,13.77,14,1.166666667,,220110_5:1,,,,,,13.77,Control,12.3,,12
,XIV,6,In House,220110_6,Control,220110_6,220110_6,APOE22HN,male,220110,1/10/22,12,1/6/21,31,2/23/22,13.77,14,1.166666667,,220110_6:1,,,,,,13.77,Control,12.3,,12
,XIV,7,In House,220110_7,Control,220110_7,220110_7,APOE22HN,male,220110,1/10/22,11,1/26/21,33,2/23/22,13.1,13,1.083333333,,220110_7:1,,,,,,13.1,Control,11.63333333,,12
,XIV,8,In House,220110_8,Control,220110_8,220110_8,APOE22HN,female,220110,1/10/22,12,1/4/21,27,2/24/22,13.87,14,1.166666667,,220110_8:1,,,,,,13.87,Control,12.36666667,,12
,XIV,9,In House,220110_9,Control,220110_9,220110_9,APOE22HN,female,220110,1/10/22,12,1/4/21,26,2/24/22,13.87,14,1.166666667,,220110_9:1,,,,,,13.87,Control,12.36666667,,12
,XIV,10,In House,220110_10,Control,220110_10,220110_10,APOE22HN,female,220110,1/10/22,12,1/4/21,27,2/24/22,13.87,14,1.166666667,,220110_10:1,,,,,,13.87,Control,12.36666667,,12
,XIV,11,In House,220110_11,HFD,220110_11,220110_11,APOE44,male,220110,1/10/22,12,1/7/21,48,2/24/22,13.77,14,1.166666667,,220110_11:1,,,,,,13.77,HFD,12.26666667,,12
,XIV,12,In House,220110_12,HFD,220110_12,220110_12,APOE44,male,220110,1/10/22,12,1/7/21,49,2/24/22,13.77,14,1.166666667,,220110_12:1,,,,,,13.77,HFD,12.26666667,,12
,XV,1,In House,220207-1,HFD,220207_1,220207-1,APOE33HN,male,220207,2/7/22,17,8/10/20,48,4/13/22,20.37,20,1.666666667,,220207-1:1,,,,,,20.36666667,HFD,18.43333333,,18
,XV,2,In House,220207-2,HFD,220207_2,220207-2,APOE33HN,male,220207,2/7/22,17,8/10/20,38,4/13/22,20.37,20,1.666666667,,220207-2:1,,,,,,20.36666667,HFD,18.43333333,,18
,XV,3,In House,220207-3,HFD,220207_3,220207-3,APOE33HN,male,220207,2/7/22,17,8/10/20,34,4/13/22,20.37,20,1.666666667,,220207-3:1,,,,,,20.36666667,HFD,18.43333333,,18
,XV,4,In House,220207-4,HFD,220207_4,220207-4,APOE33HN,male,220207,2/7/22,17,8/10/20,42,4/13/22,20.37,20,1.666666667,,220207-4:1,,,,,,20.36666667,HFD,18.43333333,,18
,XV,9,In House,220207-9,Control,220207_9,220207-9,APOE33HN,female,220207,2/7/22,17,8/10/20,27,4/6/22,20.13,20,1.666666667,,220207-9:1,,,,,,20.13,Control,18.43333333,,18
,XV,10,In House,220207-10,Control,220207_10,220207-10,APOE33HN,female,220207,2/7/22,17,8/10/20,29,4/6/22,20.13,20,1.666666667,,220207-10:1,,,,,,20.13,Control,18.43333333,,18
,XV,11,In House,220207-11,Control,220207_11,220207-11,APOE33HN,female,220207,2/7/22,17,8/10/20,37,4/6/22,20.13,20,1.666666667,,220207-11:1,,,,,,20.13,Control,18.43333333,,18
,XV,12,In House,220207-12,Control,220207_12,220207-12,APOE33HN,female,220207,2/7/22,17,8/10/20,34,4/6/22,20.13,20,1.666666667,,220207-12:1,,,,,,20.13,Control,18.43333333,,18
,XV,13,In House,220207-13,Control,220207_13,220207-13,APOE33HN,female,220207,2/7/22,17,8/10/20,29,4/6/22,20.13,20,1.666666667,,220207-13:1,,,,,,20.13,Control,18.43333333,,18
,XV,14,In House,220207-14,HFD,220207_14,220207-14,APOE33HN,female,220207,2/7/22,17,8/10/20,58,4/6/22,20.13,20,1.666666667,,220207-14:1,,,,,,20.13,HFD,18.43333333,,18
,XV,15,In House,220207-15,HFD,220207_15,220207-15,APOE33HN,female,220207,2/7/22,17,8/10/20,51,4/6/22,20.13,20,1.666666667,,220207-15:1,,,,,,20.13,HFD,18.43333333,,18
,XV,16,In House,220207-16,HFD,220207_16,220207-16,APOE33HN,female,220207,2/7/22,17,8/10/20,56,4/6/22,20.13,20,1.666666667,,220207-16:1,,,,,,20.13,HFD,18.43333333,,18
,XV,17,In House,220207-17,HFD,220207_17,220207-17,APOE33HN,female,220207,2/7/22,17,8/10/20,50,4/6/22,20.13,20,1.666666667,,220207-17:1,,,,,,20.13,HFD,18.43333333,,18
,XV,19,In House,220207-19,Control,220207_19,220207-19,APOE33HN,male,220207,2/7/22,17,8/14/20,33,4/14/22,20.27,20,1.666666667,,220207-19:1,,,,,,20.26666667,Control,18.3,,18
,XV,20,In House,220207-20,Control,220207_20,220207-20,APOE33HN,male,220207,2/7/22,17,8/14/20,38,4/14/22,20.27,20,1.666666667,,220207-20:1,,,,,,20.26666667,Control,18.3,,18
,XV,21,In House,220207-21,Control,220207_21,220207-21,APOE33HN,male,220207,2/7/22,17,8/14/20,37,4/14/22,20.27,20,1.666666667,,220207-21:1,,,,,,20.26666667,Control,18.3,,18
,XV,22,In House,220207-22,Control,220207_22,220207-22,APOE33HN,male,220207,2/7/22,17,9/7/20,34,4/14/22,19.47,19,1.583333333,,220207-22:1,,,,,,19.46666667,Control,17.5,,17
,XV,23,In House,220207-23,Control,220207_23,220207-23,APOE33HN,male,220207,2/7/22,17,9/7/20,32,4/14/22,19.47,19,1.583333333,,220207-23:1,,,,,,19.46666667,Control,17.5,,17
,XV,24,In House,220207-24,HFD,220207_24,220207-24,APOE33HN,male,220207,2/7/22,17,8/20/20,33,4/13/22,20.03,20,1.666666667,,220207-24:1,,,,,,20.03333333,HFD,18.1,,18
,XV,25,In House,220207-25,HFD,220207_25,220207-25,APOE33HN,male,220207,2/7/22,17,8/20/20,32,4/13/22,20.03,20,1.666666667,,220207-25:1,,,,,,20.03333333,HFD,18.1,,18
,XVI,1,In House,220307-1,Control,220307_1,220307-1,APOE33HN,female,220307,3/7/22,18,8/24/20,32,5/11/22,20.83,21,1.75,,220307-1:1,,,,,,20.83333333,Control,18.9,,19
,XVI,2,In House,220307-2,Control,220307_2,220307-2,APOE33HN,female,220307,3/7/22,18,8/24/20,26,5/11/22,20.83,21,1.75,,220307-2:1,,,,,,20.83333333,Control,18.9,,19
,XVI,3,In House,220307-4,Control,220307_4,220307-4,APOE33HN,female,220307,3/7/22,18,8/24/20,26,5/11/22,20.83,21,1.75,,220307-4:1,,,,,,20.83333333,Control,18.9,,19
,XVI,4,In House,220307-5,Control,220307_5,220307-5,APOE33HN,female,220307,3/7/22,18,8/24/20,25,5/11/22,20.83,21,1.75,,220307-5:1,,,,,,20.83333333,Control,18.9,,19
,XVI,5,In House,220307-6,Control,220307_6,220307-6,APOE22HN,male,220307,3/7/22,16,10/12/20,29,5/18/22,19.43,19,1.583333333,,220307-6:1,,,,,,19.43333333,Control,17.26666667,,17
,XVI,6,In House,220307-7,Control,220307_7,220307-7,APOE22HN,male,220307,3/7/22,16,10/12/20,31,5/18/22,19.43,19,1.583333333,,220307-7:1,,,,,,19.43333333,Control,17.26666667,,17
,XVI,7,In House,220307-8,Control,220307_8,220307-8,APOE22HN,male,220307,3/7/22,16,10/12/20,30,5/18/22,19.43,19,1.583333333,,220307-8:1,,,,,,19.43333333,Control,17.26666667,,17
,XVI,8,In House,220307-9,Control,220307_9,220307-9,APOE22HN,female,220307,3/7/22,16,10/12/20,27,5/18/22,19.43,19,1.583333333,,220307-9:1,,,,,,19.43333333,Control,17.26666667,,17
,XVI,9,In House,220307-10,Control,220307_10,220307-10,APOE22HN,female,220307,3/7/22,16,10/12/20,26,5/19/22,19.47,19,1.583333333,,220307-10:1,,,,,,19.46666667,Control,17.26666667,,17
,XVI,10,In House,220307-11,Control,220307_11,220307-11,APOE22HN,female,220307,3/7/22,16,10/12/20,21,5/19/22,19.47,19,1.583333333,,220307-11:1,,,,,,19.46666667,Control,17.26666667,,17
,XVI,11,In House,220307-12,Control,220307_12,220307-12,APOE22HN,female,220307,3/7/22,16,10/12/20,26,5/19/22,19.47,19,1.583333333,,220307-12:1,,,,,,19.46666667,Control,17.26666667,,17
,XVI,12,In House,220307-13,Control,220307_13,220307-13,APOE22HN,female,220307,3/7/22,16,10/12/20,28,5/19/22,19.47,19,1.583333333,,220307-13:1,,,,,,19.46666667,Control,17.26666667,,17
,XVI,13,In House,220307-14,Control,220307_14,220307-14,APOE33HN,male,220307,3/7/22,18,8/10/20,33,5/12/22,21.33,21,1.75,,220307-14:1,,,,,,21.33333333,Control,19.36666667,,19
,XVI,14,In House,220307-15,Control,220307_15,220307-15,APOE33HN,male,220307,3/7/22,18,8/10/20,32,5/12/22,21.33,21,1.75,,220307-15:1,,,,,,21.33333333,Control,19.36666667,,19
,XVI,15,In House,220307-16,Control,220307_16,220307-16,APOE33HN,male,220307,3/7/22,18,8/10/20,33,5/12/22,21.33,21,1.75,,220307-16:1,,,,,,21.33333333,Control,19.36666667,,19
,XVI,16,In House,220307-17,Control,220307_17,220307-17,APOE33HN,male,220307,3/7/22,18,8/10/20,32,5/12/22,21.33,21,1.75,,220307-17:1,,,,,,21.33333333,Control,19.36666667,,19
,XVII,1,In House,220404-1,HFD,220404_1,220404-1,APOE22,female,220404,4/4/22,11,4/5/21,30,6/22/22,14.8,15,1.22,,220404-1:1,,,,,,14.8,HFD,12.36666667,,12
,XVII,2,In House,220404-2,HFD,220404_2,220404-2,APOE22,female,220404,4/4/22,11,4/5/21,37,6/22/22,14.8,15,1.22,,220404-2:1,,,,,,14.8,HFD,12.36666667,,12
,XVII,3,In House,220404-3,HFD,220404_3,220404-3,APOE22,female,220404,4/4/22,11,4/5/21,40,6/22/22,14.8,15,1.22,,220404-3:1,,,,,,14.8,HFD,12.36666667,,12
,XVII,4,In House,220404-4,HFD,220404_4,220404-4,APOE22,female,220404,4/4/22,11,4/5/21,39,6/22/22,14.8,15,1.22,,220404-4:1,,,,,,14.8,HFD,12.36666667,,12
,XVII,5,In House,220404-5,HFD,220404_5,220404-5,APOE22,female,220404,4/4/22,9,6/20/21,29,6/22/22,12.26666667,12,1.01,,220404-5:1,,,,,,12.26666667,HFD,9.833333333,,10
,XVII,6,In House,220404-6,HFD,220404_6,220404-6,APOE22,male,220404,4/4/22,11,4/5/21,43,6/22/22,14.8,15,1.22,,220404-6:1,,,,,,14.8,HFD,12.36666667,,12
,XVII,7,In House,220404-7,HFD,220404_7,220404-7,APOE22,male,220404,4/4/22,11,4/5/21,51,6/22/22,14.8,15,1.22,,220404-7:1,,,,,,14.8,HFD,12.36666667,,12
,XVII,8,In House,220404-8,HFD,220404_8,220404-8,APOE22,male,220404,4/4/22,11,4/17/21,41,6/23/22,14.4,14,1.18,,220404-8:1,,,,,,14.4,HFD,11.96666667,,12
,XVII,9,In House,220404-9,HFD,220404_9,220404-9,APOE22,male,220404,4/4/22,11,4/17/21,39,6/23/22,14.4,14,1.18,,220404-9:1,,,,,,14.4,HFD,11.96666667,,12
,XVII,10,In House,220404-10,HFD,220404_10,220404-10,APOE22,male,220404,4/4/22,11,4/17/21,48,6/23/22,14.4,14,1.18,,220404-10:1,,,,,,14.4,HFD,11.96666667,,12
,XVII,11,In House,220404-11,Control,220404_11,220404-11,APOE22HN,male,220404,4/4/22,18,9/24/20,32,6/23/22,21.23333333,21,1.75,,220404-11:1,,,,,,21.23333333,Control,18.8,,19
,XVII,13,In House,220404-13,Control,220404_13,220404-13,APOE22HN,male,220404,4/4/22,18,9/24/20,35,6/23/22,21.23333333,21,1.75,,220404-13:1,,,,,,21.23333333,Control,18.8,,19
,XVlll,1,In House,220509-1,HFD,220509_1,220509-1,APOE22,male,220509,5/9/22,18,11/9/20,40,7/13/22,20.23333333,20,1.67,,220509-1:1,,,,,,,HFD,18.2,,18
,XVlll,2,In House,220509-4,HFD,220509_4,220509-4,APOE22,female,220509,5/9/22,18,11/9/20,27,7/13/22,20.23333333,20,1.67,,220509-4:1,,,,,,,HFD,18.2,,18
died during surgery/ was perfused,XVlll,3,In House,220509-6,HFD,220509_6,220509-6,APOE22,female,220509,5/9/22,18,11/9/20,42,7/6/22,20.23333333,20,1.67,,220509-6:1,,,,,,,HFD,18.2,,18
,XVlll,4,In House,220509-7,HFD,220509_7,220509-7,APOE33,male,220509,5/9/22,19,10/3/20,52,7/14/22,21.46666667,21,1.77,,220509-7:1,,,,,,,HFD,19.43333333,,19
,XVlll,5,In House,220509-8,HFD,220509_8,220509-8,APOE33,female,220509,5/9/22,18,11/5/20,34,7/14/22,20.36666667,20,1.68,,220509-8:1,,,,,,,HFD,18.33333333,,18
,XVlll,6,In House,220509-10,HFD,220509_10,220509-10,APOE33,female,220509,5/9/22,18,11/5/20,28,7/14/22,20.36666667,20,1.68,,220509-10:1,,,,,,,HFD,18.33333333,,18
,XVlll,7,In House,220509-11,Control,220509_11,220509-11,APOE44,female,220509,5/9/22,17,11/30/20,29,7/14/22,19.53333333,20,1.61,,220509-11:1,,,,,,,Control,17.5,,18
,XVlll,8,In House,220509-12,Control,220509_12,220509-12,APOE22,female,220509,5/9/22,11,6/2/21,25,7/13/22,13.4,13,1.1,,220509-12:1,,,,,,,Control,11.36666667,,11
,XVlll,9,In House,220509-13,Control,220509_13,220509-13,APOE22,female,220509,5/9/22,11,6/9/21,26,7/13/22,13.16666667,13,1.08,,220509-13:1,,,,,,,Control,11.13333333,,11
,XVlll,10,In House,220509-14,Control,220509_14,220509-14,APOE22,female,220509,5/9/22,11,6/9/21,26,7/13/22,13.16666667,13,1.08,,220509-14:1,,,,,,,Control,11.13333333,,11
,XVlll,1,In House,220606-1,Control,220606_1,220606-1,APOE33HN,male,220606,6/6/22,17,1/6/21,33,8/11/22,19.4,19,1.6,,220606-1:1,,,,,,,Control,17.2,,17
,XVlll,2,In House,220606-2,Control,220606_2,220606-2,APOE44HN,female,220606,6/6/22,18,11/30/20,30,8/11/22,20.63333333,21,1.7,,220606-2:1,,,,,,,Control,18.43333333,,19
,XVlll,3,In House,220606-3,Control,220606_3,220606-3,APOE44HN,female,220606,6/6/22,18,11/30/20,32,8/11/22,20.63333333,21,1.7,,220606-3:1,,,,,,,Control,18.43333333,,19
,XVlll,4,In House,220606-4,Control,220606_4,220606-4,APOE44HN,female,220606,6/6/22,18,11/30/20,28,8/11/22,20.63333333,21,1.7,,220606-4:1,,,,,,,Control,18.43333333,,19
,XVlll,5,In House,220606-5,Control,220606_5,220606-5,APOE44HN,female,220606,6/6/22,18,11/30/20,32,8/10/22,20.6,21,1.69,,220606-5:1,,,,,,,Control,18.43333333,,19
,XVlll,6,In House,220606-6,Control,220606_6,220606-6,APOE44HN,female,220606,6/6/22,18,11/30/20,26,8/10/22,20.6,21,1.69,,220606-6:1,,,,,,,Control,18.43333333,,19
,XVlll,7,In House,220606-15,HFD,220606_7,220606-7,APOE44,male,220606,6/6/22,18,11/30/20,40,8/10/22,20.6,21,1.69,,220606-15:1,,,,,,,HFD,18.43333333,,19
,XVlll,8,In House,220606-16,HFD,220606_8,220606-8,APOE44,male,220606,6/6/22,18,11/30/20,48,8/10/22,20.6,21,1.69,,220606-16:1,,,,,,,HFD,18.43333333,,19
,XVlll,9,In House,220606-17,Control,220606_9,220606-9,APOE44,female,220606,6/6/22,18,11/30/20,28,8/10/22,20.6,21,1.69,,220606-17:1,,,,,,,Control,18.43333333,,19
,XVlll,10,In House,220606-18,Control,220606_10,220606-10,APOE44,female,220606,6/6/22,18,11/30/20,26,8/10/22,20.6,21,1.69,,220606-18:1,,,,,,,Control,18.43333333,,19
,XVlll,11,In House,220606-19,Control,220606_11,220606-11,APOE22,male,220606,6/6/22,11,6/9/21,30,8/17/22,14.27,14,1.188888889,,220606-19:1,,,,,,,Control,12.06666667,,12
,XVlll,12,In House,220606-20,Control,220606_12,220606-12,APOE22,male,220606,6/6/22,11,6/9/21,31,8/17/22,14.27,14,1.188888889,,220606-20:1,,,,,,,Control,12.06666667,,12
,XVlll,13,In House,220606-21,Control,220606_13,220606-13,APOE22,male,220606,6/6/22,11,6/9/21,31,8/17/22,14.27,14,1.188888889,,220606-21:1,,,,,,,Control,12.06666667,,12
,XVlll,14,In House,220606-22,Control,220606_14,220606-14,APOE22,male,220606,6/6/22,11,6/9/21,33,8/17/22,14.27,14,1.188888889,,220606-22:1,,,,,,,Control,12.06666667,,12
July22cohort,XIX,1,In House,220704-2,HFD,220704_2,220704-2,APOE44,female,220704,7/4/22,17,1/7/21,46,9/7/22,20.2,20,1.67,,220704-2:1,,,,,,,HFD,18.1,Died during in vivo MRI imaging,18
July22cohort,XIX,2,In House,220704-4,HFD,220704_3,220704-3,APOE44,female,220704,7/4/22,17,1/7/21,41,9/8/22,20.2,20,1.67,,220704-4:1,,,,,,,HFD,18.1,,18
July22cohort,XIX,3,In House,220704-5,HFD,220704_4,220704-4,APOE44,female,220704,7/4/22,17,1/7/21,29,9/8/22,20.2,20,1.67,,220704-5:1,,,,,,,HFD,18.1,,18
July22cohort,XIX,4,In House,220704-11,HFD,220704_6,220704-6,APOE22HN,female,220704,7/4/22,18,12/17/20,45,9/15/22,21.23333333,21,1.744444444,,220704-11:1,,,,,,,HFD,18.8,,19
July22cohort,XIX,5,In House,220704-7,HFD,220704_7,220704-7,APOE22HN,female,220704,7/4/22,18,12/17/20,36,9/15/22,21.23333333,21,1.744444444,,220704-7:1,,,,,,,HFD,18.8,,19
July22cohort,XIX,6,In House,220704-8,HFD,220704_8,220704-8,APOE22HN,female,220704,7/4/22,18,12/20/20,33,9/15/22,21.13333333,21,1.736111111,,220704-8:1,,,,,,,HFD,18.7,,19
July22cohort,XIX,7,In House,220704-1,HFD,220704_9,220704-9,APOE22HN,female,220704,7/4/22,18,12/20/20,39,9/16/22,21.16,21,1.74,,220704-1:1,,,,,,,HFD,18.7,,19
July22cohort,XIX,8,In House,220704-10,HFD,220704_10,220704-10,APOE22HN,male,220704,7/4/22,18,12/17/20,46,9/1/22,20.96,21,1.72,,220704-10:1,,,,,,,HFD,18.8,Died during Survival surgery,19
July22cohort,XIX,9,In House,220704-14,HFD,220704_12,220704-12,APOE22HN,male,220704,7/4/22,18,12/17/20,48,9/7/22,20.96,21,1.72,,220704-14:1,,,,,,,HFD,18.8,,19
July22cohort,XIX,10,In House,220704-15,HFD,220704_13,220704-13,APOE22HN,male,220704,7/4/22,18,12/17/20,42,9/7/22,20.96,21,1.72,,220704-15:1,,,,,,,HFD,18.8,,19
July22cohort,XIX,11,In House,220704-16,HFD,220704_14,220704-14,APOE22HN,male,220704,7/4/22,18,12/17/20,40,9/7/22,20.96,21,1.72,,220704-16:1,,,,,,,HFD,18.8,,19
July22cohort,XIX,12,In House,220704-17,HFD,220704_15,220704-15,APOE33HN,female,220704,7/4/22,17,1/6/21,47,9/7/22,20.3,20,1.67,,220704-17:1,,,,,,,HFD,18.1,,18
July22cohort,XIX,13,In House,220704-18,HFD,220704_16,220704-16,APOE33HN,female,220704,7/4/22,17,1/6/21,21,9/7/22,20.3,20,1.67,,220704-18:1,,,,,,,HFD,18.1,,18
